problem,reasoning
"The sum of three numbers is 150. The first number is 4 times the second number, and the third number is 15 more than the second number. Write a system of linear equations to represent this information and find the values of the three numbers.","
        1. Let x be the first number, y be the second number, and z be the third number.
        2. The sum of the three numbers is:
           x + y + z = 150
        3. The first number is 4 times the second number:
           x = 4y
        4. The third number is 15 more than the second number:
           z = y + 15
        Final Equations: 
           x + y + z = 150, x = 4y, and z = y + 15
        "
"The total number of students in a school is 300. The number of boys is 100 more than the number of girls, and the number of girls is 50 less than the number of teachers. Write a system of linear equations to represent this information and find the number of boys, girls, and teachers.","
        1. Let x be the number of boys, y be the number of girls, and z be the number of teachers.
        2. The total number of students is:
           x + y = 300
        3. The number of boys is 100 more than the number of girls:
           x = y + 100
        4. The number of girls is 50 less than the number of teachers:
           y = z - 50
        Final Equations: 
           x + y = 300, x = y + 100, and y = z - 50
        "
"The sum of three numbers is 45. The first number is 3 times the second number, and the third number is 10 less than the second number. Write a system of linear equations to represent this information and find the values of the three numbers.","
        1. Let x be the first number, y be the second number, and z be the third number.
        2. The sum of the three numbers is:
           x + y + z = 45
        3. The first number is 3 times the second number:
           x = 3y
        4. The third number is 10 less than the second number:
           z = y - 10
        Final Equations: 
           x + y + z = 45, x = 3y, and z = y - 10
        "
"The total of three numbers is 200. The first number is twice the second number, and the second number is 30 less than the third number. Write a system of linear equations to represent this information and find the values of the three numbers.","
        1. Let x be the first number, y be the second number, and z be the third number.
        2. The total of the three numbers is:
           x + y + z = 200
        3. The first number is twice the second number:
           x = 2y
        4. The second number is 30 less than the third number:
           y = z - 30
        Final Equations: 
           x + y + z = 200, x = 2y, and y = z - 30
        "
"A box contains apples, bananas, and oranges. The total number of fruits is 180. The number of apples is 50 more than the number of bananas, and the number of bananas is 20 less than the number of oranges. Write a system of linear equations to represent this information and find the number of each type of fruit.","
        1. Let x be the number of apples, y be the number of bananas, and z be the number of oranges.
        2. The total number of fruits is:
           x + y + z = 180
        3. The number of apples is 50 more than the number of bananas:
           x = y + 50
        4. The number of bananas is 20 less than the number of oranges:
           y = z - 20
        Final Equations: 
           x + y + z = 180, x = y + 50, and y = z - 20
        "
"The sum of three numbers is 50. The first number is 4 times the second number, and the third number is 10 more than the second number. Write a system of linear equations to represent this information and find the values of the three numbers.","
        1. Let x be the first number, y be the second number, and z be the third number.
        2. The sum of the three numbers is:
           x + y + z = 50
        3. The first number is 4 times the second number:
           x = 4y
        4. The third number is 10 more than the second number:
           z = y + 10
        Final Equations: 
           x + y + z = 50, x = 4y, and z = y + 10
        "
"A farm has cows, chickens, and goats. The total number of animals is 120. The number of cows is 10 more than twice the number of chickens, and the number of goats is 20 more than the number of chickens. Write a system of linear equations to represent this information and find the number of each type of animal.","
        1. Let x be the number of cows, y be the number of chickens, and z be the number of goats.
        2. The total number of animals is:
           x + y + z = 120
        3. The number of cows is 10 more than twice the number of chickens:
           x = 2y + 10
        4. The number of goats is 20 more than the number of chickens:
           z = y + 20
        Final Equations: 
           x + y + z = 120, x = 2y + 10, and z = y + 20
        "
"A family has 1500 dollars. The father has 3 times as much as the mother, and the mother has 200 dollars more than the son. Write a system of linear equations to represent this information and find the amount of money each family member has.","
        1. Let x be the amount of money the father has, y be the amount of money the mother has, and z be the amount of money the son has.
        2. The total amount of money is:
           x + y + z = 1500
        3. The father has 3 times as much as the mother:
           x = 3y
        4. The mother has 200 dollars more than the son:
           y = z + 200
        Final Equations: 
           x + y + z = 1500, x = 3y, and y = z + 200
        "
"Three students decided to contribute to a class fund. The first student contributed $20 more than the second student, and the second student contributed $10 more than the third student. The total contribution was $90. Write a system of linear equations to represent this information and find the amount each student contributed.","
        1. Let x be the amount the first student contributed, y be the amount the second student contributed, and z be the amount the third student contributed.
        2. The total contribution is:
           x + y + z = 90
        3. The first student contributed $20 more than the second student:
           x = y + 20
        4. The second student contributed $10 more than the third student:
           y = z + 10
        Final Equations: 
           x + y + z = 90, x = y + 20, and y = z + 10
        "
"The sum of three numbers is 120. The first number is 5 times the second number, and the second number is 10 less than the third number. Write a system of linear equations to represent this information and find the values of the three numbers.","
        1. Let x be the first number, y be the second number, and z be the third number.
        2. The sum of the three numbers is:
           x + y + z = 120
        3. The first number is 5 times the second number:
           x = 5y
        4. The second number is 10 less than the third number:
           y = z - 10
        Final Equations: 
           x + y + z = 120, x = 5y, and y = z - 10
        "
"The sum of three numbers is 240. The first number is 6 times the second number, and the second number is 15 less than the third number. Write a system of linear equations to represent this information and find the values of the three numbers.","
        1. Let x be the first number, y be the second number, and z be the third number.
        2. The sum of the three numbers is:
           x + y + z = 240
        3. The first number is 6 times the second number:
           x = 6y
        4. The second number is 15 less than the third number:
           y = z - 15
        Final Equations: 
           x + y + z = 240, x = 6y, and y = z - 15
        "
"A factory produces pencils, pens, and erasers. The total number of items produced is 1000. The number of pencils is 3 times the number of pens, and the number of pens is 100 more than the number of erasers. Write a system of linear equations to represent this information and find the number of each item produced.","
        1. Let x be the number of pencils, y be the number of pens, and z be the number of erasers.
        2. The total number of items produced is:
           x + y + z = 1000
        3. The number of pencils is 3 times the number of pens:
           x = 3y
        4. The number of pens is 100 more than the number of erasers:
           y = z + 100
        Final Equations: 
           x + y + z = 1000, x = 3y, and y = z + 100
        "
"Three people contributed money to a charity. The first person contributed $10 more than the second person, and the second person contributed $5 more than the third person. The total contribution was $80. Write a system of linear equations to represent this information and find the amount each person contributed.","
        1. Let x be the amount the first person contributed, y be the amount the second person contributed, and z be the amount the third person contributed.
        2. The total contribution is:
           x + y + z = 80
        3. The first person contributed $10 more than the second person:
           x = y + 10
        4. The second person contributed $5 more than the third person:
           y = z + 5
        Final Equations: 
           x + y + z = 80, x = y + 10, and y = z + 5
        "
"The sum of three numbers is 50. The first number is twice the second number, and the second number is 5 less than the third number. Write a system of linear equations to represent this information and find the values of the three numbers.","
        1. Let x be the first number, y be the second number, and z be the third number.
        2. The sum of the three numbers is:
           x + y + z = 50
        3. The first number is twice the second number:
           x = 2y
        4. The second number is 5 less than the third number:
           y = z - 5
        Final Equations: 
           x + y + z = 50, x = 2y, and y = z - 5
        "
"The sum of three numbers is 120. The first number is 3 times the second number, and the third number is 10 less than the second number. Write a system of linear equations to represent this information and find the values of the three numbers.","
        1. Let x be the first number, y be the second number, and z be the third number.
        2. The sum of the three numbers is:
           x + y + z = 120
        3. The first number is 3 times the second number:
           x = 3y
        4. The third number is 10 less than the second number:
           z = y - 10
        Final Equations: 
           x + y + z = 120, x = 3y, and z = y - 10
        "
"A person has a total of 500 dollars. The amount of money they have is split between three accounts. The first account contains 3 times the amount of the second account, and the second account contains 50 dollars more than the third account. Write a system of linear equations to represent this information and find the amount in each account.","
        1. Let x be the amount in the first account, y be the amount in the second account, and z be the amount in the third account.
        2. The total amount is:
           x + y + z = 500
        3. The first account contains 3 times the amount of the second account:
           x = 3y
        4. The second account contains 50 dollars more than the third account:
           y = z + 50
        Final Equations: 
           x + y + z = 500, x = 3y, and y = z + 50
        "
"The sum of three numbers is 150. The first number is 4 times the second number, and the third number is 20 more than the second number. Write a system of linear equations to represent this information and find the values of the three numbers.","
        1. Let x be the first number, y be the second number, and z be the third number.
        2. The sum of the three numbers is:
           x + y + z = 150
        3. The first number is 4 times the second number:
           x = 4y
        4. The third number is 20 more than the second number:
           z = y + 20
        Final Equations: 
           x + y + z = 150, x = 4y, and z = y + 20
        "
"The sum of three numbers is 300. The first number is twice the second number, and the third number is 50 less than the second number. Write a system of linear equations to represent this information and find the values of the three numbers.","
        1. Let x be the first number, y be the second number, and z be the third number.
        2. The sum of the three numbers is:
           x + y + z = 300
        3. The first number is twice the second number:
           x = 2y
        4. The third number is 50 less than the second number:
           z = y - 50
        Final Equations: 
           x + y + z = 300, x = 2y, and z = y - 50
        "
"The total number of books in a library is 180. The number of fiction books is twice the number of non-fiction books, and the number of non-fiction books is 20 less than the number of reference books. Write a system of linear equations to represent this information and find the number of each type of book.","
        1. Let x be the number of fiction books, y be the number of non-fiction books, and z be the number of reference books.
        2. The total number of books is:
           x + y + z = 180
        3. The number of fiction books is twice the number of non-fiction books:
           x = 2y
        4. The number of non-fiction books is 20 less than the number of reference books:
           y = z - 20
        Final Equations: 
           x + y + z = 180, x = 2y, and y = z - 20
        "
"The sum of three numbers is 500. The first number is 5 times the second number, and the third number is 20 more than the second number. Write a system of linear equations to represent this information and find the values of the three numbers.","
        1. Let x be the first number, y be the second number, and z be the third number.
        2. The sum of the three numbers is:
           x + y + z = 500
        3. The first number is 5 times the second number:
           x = 5y
        4. The third number is 20 more than the second number:
           z = y + 20
        Final Equations: 
           x + y + z = 500, x = 5y, and z = y + 20
        "
"The sum of three numbers is 250. The first number is 8 times the second number, and the second number is 30 less than the third number. Write a system of linear equations to represent this information and find the values of the three numbers.","
        1. Let x be the first number, y be the second number, and z be the third number.
        2. The sum of the three numbers is:
           x + y + z = 250
        3. The first number is 8 times the second number:
           x = 8y
        4. The second number is 30 less than the third number:
           y = z - 30
        Final Equations: 
           x + y + z = 250, x = 8y, and y = z - 30
        "
"A company has three types of products: A, B, and C. The total number of products produced is 600. The number of product A is 4 times the number of product B, and the number of product B is 50 more than the number of product C. Write a system of linear equations to represent this information and find the number of each product produced.","
        1. Let x be the number of product A, y be the number of product B, and z be the number of product C.
        2. The total number of products is:
           x + y + z = 600
        3. The number of product A is 4 times the number of product B:
           x = 4y
        4. The number of product B is 50 more than the number of product C:
           y = z + 50
        Final Equations: 
           x + y + z = 600, x = 4y, and y = z + 50
        "
"The sum of three numbers is 150. The first number is 3 times the second number, and the third number is 15 more than the second number. Write a system of linear equations to represent this information and find the values of the three numbers.","
        1. Let x be the first number, y be the second number, and z be the third number.
        2. The sum of the three numbers is:
           x + y + z = 150
        3. The first number is 3 times the second number:
           x = 3y
        4. The third number is 15 more than the second number:
           z = y + 15
        Final Equations: 
           x + y + z = 150, x = 3y, and z = y + 15
        "
"The sum of three numbers is 400. The first number is 7 times the second number, and the second number is 40 less than the third number. Write a system of linear equations to represent this information and find the values of the three numbers.","
        1. Let x be the first number, y be the second number, and z be the third number.
        2. The sum of the three numbers is:
           x + y + z = 400
        3. The first number is 7 times the second number:
           x = 7y
        4. The second number is 40 less than the third number:
           y = z - 40
        Final Equations: 
           x + y + z = 400, x = 7y, and y = z - 40
        "
"A store sells three types of fruits: apples, bananas, and cherries. The total number of fruits sold is 200. The number of apples is twice the number of bananas, and the number of bananas is 30 more than the number of cherries. Write a system of linear equations to represent this information and find the number of each type of fruit sold.","
        1. Let x be the number of apples, y be the number of bananas, and z be the number of cherries.
        2. The total number of fruits sold is:
           x + y + z = 200
        3. The number of apples is twice the number of bananas:
           x = 2y
        4. The number of bananas is 30 more than the number of cherries:
           y = z + 30
        Final Equations: 
           x + y + z = 200, x = 2y, and y = z + 30
        "
"The total number of seats in a theater is 800. The number of front-row seats is 5 times the number of middle-row seats, and the number of middle-row seats is 100 more than the number of back-row seats. Write a system of linear equations to represent this information and find the number of seats in each row.","
        1. Let x be the number of front-row seats, y be the number of middle-row seats, and z be the number of back-row seats.
        2. The total number of seats is:
           x + y + z = 800
        3. The number of front-row seats is 5 times the number of middle-row seats:
           x = 5y
        4. The number of middle-row seats is 100 more than the number of back-row seats:
           y = z + 100
        Final Equations: 
           x + y + z = 800, x = 5y, and y = z + 100
        "
"The sum of three numbers is 360. The first number is 6 times the second number, and the third number is 30 less than the second number. Write a system of linear equations to represent this information and find the values of the three numbers.","
        1. Let x be the first number, y be the second number, and z be the third number.
        2. The sum of the three numbers is:
           x + y + z = 360
        3. The first number is 6 times the second number:
           x = 6y
        4. The third number is 30 less than the second number:
           z = y - 30
        Final Equations: 
           x + y + z = 360, x = 6y, and z = y - 30
        "
"The total number of chairs in a conference room is 250. The number of chairs in the front row is twice the number of chairs in the middle row, and the number of chairs in the middle row is 30 more than the number of chairs in the back row. Write a system of linear equations to represent this information and find the number of chairs in each row.","
        1. Let x be the number of chairs in the front row, y be the number of chairs in the middle row, and z be the number of chairs in the back row.
        2. The total number of chairs is:
           x + y + z = 250
        3. The number of chairs in the front row is twice the number of chairs in the middle row:
           x = 2y
        4. The number of chairs in the middle row is 30 more than the number of chairs in the back row:
           y = z + 30
        Final Equations: 
           x + y + z = 250, x = 2y, and y = z + 30
        "
"A person invested in two schemes, one offering 6% annual interest and the other offering 8% annual interest. The total investment was $10,000, and the total interest earned from both schemes after one year was $720. Write a system of linear equations to represent this information and find how much was invested in each scheme.","
        1. Let x be the amount invested at 6% interest, and y be the amount invested at 8% interest.
        2. The total investment is:
           x + y = 10000
        3. The total interest is $720:
           0.06x + 0.08y = 720
        Final Equations:
           x + y = 10000 and 0.06x + 0.08y = 720
        "
"A car rental company offers two types of cars. One type rents for $30 per day, and the other rents for $45 per day. If a customer rents the cars for a total of 6 days and the total cost is $240, write a system of linear equations to represent this information and find how many days the customer rented each type of car.","
        1. Let x be the number of days the customer rented the $30 per day car, and y be the number of days they rented the $45 per day car.
        2. The total days rented is:
           x + y = 6
        3. The total cost is $240:
           30x + 45y = 240
        Final Equations:
           x + y = 6 and 30x + 45y = 240
        "
A farmer has a total of 1000 meters of fencing. She wants to use the fencing to enclose a rectangular area for grazing. The length of the enclosure is 3 meters longer than twice the width. Write a system of linear equations to represent this information and find the dimensions of the enclosure.,"
        1. Let x be the width of the enclosure, and y be the length of the enclosure.
        2. The total fencing is used for the perimeter:
           2x + 2y = 1000
        3. The length is 3 meters longer than twice the width:
           y = 2x + 3
        Final Equations:
           2x + 2y = 1000 and y = 2x + 3
        "
"Two types of tickets are sold for a concert: adult tickets and child tickets. The price of an adult ticket is $25, and the price of a child ticket is $10. If 100 tickets are sold and the total revenue is $2,000, write a system of linear equations to represent this information and find how many adult and child tickets were sold.","
        1. Let x be the number of adult tickets sold, and y be the number of child tickets sold.
        2. The total number of tickets sold is:
           x + y = 100
        3. The total revenue is $2,000:
           25x + 10y = 2000
        Final Equations:
           x + y = 100 and 25x + 10y = 2000
        "
A train travels from city A to city B and then returns. The time it takes to travel from A to B is 2 hours less than the time it takes to travel from B to A. The total travel time for the round trip is 8 hours. Write a system of linear equations to represent this information and find the time taken for each leg of the journey.,"
        1. Let x be the time taken to travel from A to B, and y be the time taken to travel from B to A.
        2. The total travel time is:
           x + y = 8
        3. The time from A to B is 2 hours less than the time from B to A:
           x = y - 2
        Final Equations:
           x + y = 8 and x = y - 2
        "
A boat travels 120 kilometers downstream in 3 hours and returns upstream in 4 hours. The speed of the current is 2 km/h. Write a system of linear equations to represent this information and find the speed of the boat in still water.,"
        1. Let x be the speed of the boat in still water (in km/h), and y be the speed of the current (which is given as 2 km/h).
        2. The speed of the boat downstream is (x + y), and it takes 3 hours to travel 120 km:
           120 = 3(x + 2)
        3. The speed of the boat upstream is (x - y), and it takes 4 hours to travel 120 km:
           120 = 4(x - 2)
        Final Equations:
           120 = 3(x + 2) and 120 = 4(x - 2)
        "
"The sum of two numbers is 18, and the product of these two numbers is 56. What are the numbers?","
         1. Let x and y be the two numbers.
         2. The sum of the two numbers:
            x + y = 18
         3. The product of the two numbers:
            xy = 56
         Final Equations:
            x + y = 18, xy = 56
         "
"The difference of the squares of two consecutive even integers is 68. What are these numbers?","
         1. Let x be the smaller even integer and x + 2 be the larger even integer.
         2. The difference of their squares:
            (x + 2)^2 - x^2 = 68
         Final Equations:
            (x + 2)^2 - x^2 = 68
         "
"The product of the ages of Sally and Joey now is 175 more than the product of their ages 5 years prior. If Sally is 20 years older than Joey, what are their current ages?","
         1. Let x be Joey’s current age and x + 20 be Sally’s current age.
         2. Their product now:
            x(x + 20)
         3. Their product 5 years ago:
            (x - 5)(x + 15)
         4. The difference in the products:
            x(x + 20) = (x - 5)(x + 15) + 175
         Final Equation:
            x(x + 20) = (x - 5)(x + 15) + 175
         "
"The sum of two numbers is 22, and the product of these two numbers is 120. What are the numbers?","
         1. Let x and y be the two numbers.
         2. The sum of the two numbers:
            x + y = 22
         3. The product of the two numbers:
            xy = 120
         Final Equations:
            x + y = 22, xy = 120
"
"The difference of two numbers is 4, and the product of these two numbers is 140. What are the numbers?","
⠀⠀1. Let x and y be the two numbers.
⠀⠀2. The difference of the two numbers:
⠀⠀⠀⠀⠀⠀x - y = 4
⠀⠀3. The product of the two numbers:
⠀⠀⠀⠀⠀⠀xy = 140

⠀⠀Final Equations:
⠀⠀⠀⠀⠀⠀x - y = 4, xy = 140
"
"The difference of two numbers is 8, and the sum of the squares of these two numbers is 320. What are the numbers?","
⠀⠀1. Let x and y be the two numbers.
⠀⠀2. The difference of the two numbers:
⠀⠀⠀⠀⠀⠀x - y = 8
⠀⠀3. The sum of the squares of the two numbers:
⠀⠀⠀⠀⠀⠀x^2 + y^2 = 320

⠀⠀Final Equations:
⠀⠀⠀⠀⠀⠀x - y = 8, x^2 + y^2 = 320
"
"The sum of the squares of two consecutive even integers is 244. What are these numbers?","
⠀⠀1. Let x be the smaller even integer and x + 2 be the larger even integer.
⠀⠀2. The sum of the squares:
⠀⠀⠀⠀⠀⠀x^2 + (x + 2)^2 = 244

⠀⠀Final Equation:
⠀⠀⠀⠀⠀⠀x^2 + (x + 2)^2 = 244
"
"The difference of the squares of two consecutive even integers is 60. What are these numbers?","
⠀⠀1. Let x be the smaller even integer and x + 2 be the larger even integer.
⠀⠀2. The difference of their squares:
⠀⠀⠀⠀⠀⠀(x + 2)^2 - x^2 = 60

⠀⠀Final Equation:
⠀⠀⠀⠀⠀⠀(x + 2)^2 - x^2 = 60
"
"The sum of the squares of two consecutive even integers is 452. What are these numbers?","
⠀⠀1. Let x be the smaller even integer and x + 2 be the larger even integer.
⠀⠀2. The sum of the squares:
⠀⠀⠀⠀⠀⠀x^2 + (x + 2)^2 = 452

⠀⠀Final Equation:
⠀⠀⠀⠀⠀⠀x^2 + (x + 2)^2 = 452
"
"Find three consecutive even integers such that the product of the first two is 38 more than the third integer.","
⠀⠀1. Let x, x + 2, and x + 4 be the three consecutive even integers.
⠀⠀2. The product of the first two is:
⠀⠀⠀⠀⠀⠀x(x + 2) = (x + 4) + 38

⠀⠀Final Equation:
⠀⠀⠀⠀⠀⠀x(x + 2) = (x + 4) + 38
"
"Find three consecutive odd integers such that the product of the first two is 52 more than the third integer.","
⠀⠀1. Let x, x + 2, and x + 4 be the three consecutive odd integers.
⠀⠀2. The product of the first two is:
⠀⠀⠀⠀⠀⠀x(x + 2) = (x + 4) + 52

⠀⠀Final Equation:
⠀⠀⠀⠀⠀⠀x(x + 2) = (x + 4) + 52
"

Here is your formatted text as per your exact specifications:

"The sum of two numbers is 22, and the product of these two numbers is 120. What are the numbers?",
"
⠀⠀1. Let x and y be the two numbers.
⠀⠀2. The sum of the two numbers:
⠀⠀⠀⠀⠀⠀x + y = 22
⠀⠀3. The product of the two numbers:
⠀⠀⠀⠀⠀⠀xy = 120

⠀⠀Final Equations:
⠀⠀⠀⠀⠀⠀x + y = 22, xy = 120
"

"The difference of two numbers is 4, and the product of these two numbers is 140. What are the numbers?",
"
⠀⠀1. Let x and y be the two numbers.
⠀⠀2. The difference of the two numbers:
⠀⠀⠀⠀⠀⠀x - y = 4
⠀⠀3. The product of the two numbers:
⠀⠀⠀⠀⠀⠀xy = 140

⠀⠀Final Equations:
⠀⠀⠀⠀⠀⠀x - y = 4, xy = 140
"

"The difference of two numbers is 8, and the sum of the squares of these two numbers is 320. What are the numbers?",
"
⠀⠀1. Let x and y be the two numbers.
⠀⠀2. The difference of the two numbers:
⠀⠀⠀⠀⠀⠀x - y = 8
⠀⠀3. The sum of the squares of the two numbers:
⠀⠀⠀⠀⠀⠀x^2 + y^2 = 320

⠀⠀Final Equations:
⠀⠀⠀⠀⠀⠀x - y = 8, x^2 + y^2 = 320
"

"The sum of the squares of two consecutive even integers is 244. What are these numbers?",
"
⠀⠀1. Let x be the smaller even integer and x + 2 be the larger even integer.
⠀⠀2. The sum of the squares:
⠀⠀⠀⠀⠀⠀x^2 + (x + 2)^2 = 244

⠀⠀Final Equation:
⠀⠀⠀⠀⠀⠀x^2 + (x + 2)^2 = 244
"

"The difference of the squares of two consecutive even integers is 60. What are these numbers?",
"
⠀⠀1. Let x be the smaller even integer and x + 2 be the larger even integer.
⠀⠀2. The difference of their squares:
⠀⠀⠀⠀⠀⠀(x + 2)^2 - x^2 = 60

⠀⠀Final Equation:
⠀⠀⠀⠀⠀⠀(x + 2)^2 - x^2 = 60
"

"The sum of the squares of two consecutive even integers is 452. What are these numbers?",
"
⠀⠀1. Let x be the smaller even integer and x + 2 be the larger even integer.
⠀⠀2. The sum of the squares:
⠀⠀⠀⠀⠀⠀x^2 + (x + 2)^2 = 452

⠀⠀Final Equation:
⠀⠀⠀⠀⠀⠀x^2 + (x + 2)^2 = 452
"

"Find three consecutive even integers such that the product of the first two is 38 more than the third integer.",
"
⠀⠀1. Let x, x + 2, and x + 4 be the three consecutive even integers.
⠀⠀2. The product of the first two is:
⠀⠀⠀⠀⠀⠀x(x + 2) = (x + 4) + 38

⠀⠀Final Equation:
⠀⠀⠀⠀⠀⠀x(x + 2) = (x + 4) + 38
"

"Find three consecutive odd integers such that the product of the first two is 52 more than the third integer.",
"
⠀⠀1. Let x, x + 2, and x + 4 be the three consecutive odd integers.
⠀⠀2. The product of the first two is:
⠀⠀⠀⠀⠀⠀x(x + 2) = (x + 4) + 52

⠀⠀Final Equation:
⠀⠀⠀⠀⠀⠀x(x + 2) = (x + 4) + 52
"

"The product of the ages of Alan and Terry is 80 more than the product of their ages 4 years prior. If Alan is 4 years older than Terry, what are their current ages?","
⠀⠀1. Let x be Terry’s current age and x + 4 be Alan’s current age.
⠀⠀2. Their product now:
⠀⠀⠀⠀⠀⠀x(x + 4)
⠀⠀3. Their product 4 years ago:
⠀⠀⠀⠀⠀⠀(x - 4)(x)
⠀⠀4. The difference in the products:
⠀⠀⠀⠀⠀⠀x(x + 4) = (x - 4)(x) + 80

⠀⠀Final Equation:
⠀⠀⠀⠀⠀⠀x(x + 4) = (x - 4)(x) + 80
"
Here is your formatted text as per your exact specifications:

"The sum of two numbers is 22, and the product of these two numbers is 120. What are the numbers?",
"
⠀⠀1. Let x and y be the two numbers.
⠀⠀2. The sum of the two numbers:
⠀⠀⠀⠀⠀⠀x + y = 22
⠀⠀3. The product of the two numbers:
⠀⠀⠀⠀⠀⠀xy = 120

⠀⠀Final Equations:
⠀⠀⠀⠀⠀⠀x + y = 22, xy = 120
"

"The difference of two numbers is 4, and the product of these two numbers is 140. What are the numbers?",
"
⠀⠀1. Let x and y be the two numbers.
⠀⠀2. The difference of the two numbers:
⠀⠀⠀⠀⠀⠀x - y = 4
⠀⠀3. The product of the two numbers:
⠀⠀⠀⠀⠀⠀xy = 140

⠀⠀Final Equations:
⠀⠀⠀⠀⠀⠀x - y = 4, xy = 140
"

"The difference of two numbers is 8, and the sum of the squares of these two numbers is 320. What are the numbers?",
"
⠀⠀1. Let x and y be the two numbers.
⠀⠀2. The difference of the two numbers:
⠀⠀⠀⠀⠀⠀x - y = 8
⠀⠀3. The sum of the squares of the two numbers:
⠀⠀⠀⠀⠀⠀x^2 + y^2 = 320

⠀⠀Final Equations:
⠀⠀⠀⠀⠀⠀x - y = 8, x^2 + y^2 = 320
"

"The sum of the squares of two consecutive even integers is 244. What are these numbers?",
"
⠀⠀1. Let x be the smaller even integer and x + 2 be the larger even integer.
⠀⠀2. The sum of the squares:
⠀⠀⠀⠀⠀⠀x^2 + (x + 2)^2 = 244

⠀⠀Final Equation:
⠀⠀⠀⠀⠀⠀x^2 + (x + 2)^2 = 244
"

"The difference of the squares of two consecutive even integers is 60. What are these numbers?",
"
⠀⠀1. Let x be the smaller even integer and x + 2 be the larger even integer.
⠀⠀2. The difference of their squares:
⠀⠀⠀⠀⠀⠀(x + 2)^2 - x^2 = 60

⠀⠀Final Equation:
⠀⠀⠀⠀⠀⠀(x + 2)^2 - x^2 = 60
"

"The sum of the squares of two consecutive even integers is 452. What are these numbers?",
"
⠀⠀1. Let x be the smaller even integer and x + 2 be the larger even integer.
⠀⠀2. The sum of the squares:
⠀⠀⠀⠀⠀⠀x^2 + (x + 2)^2 = 452

⠀⠀Final Equation:
⠀⠀⠀⠀⠀⠀x^2 + (x + 2)^2 = 452
"

"Find three consecutive even integers such that the product of the first two is 38 more than the third integer.",
"
⠀⠀1. Let x, x + 2, and x + 4 be the three consecutive even integers.
⠀⠀2. The product of the first two is:
⠀⠀⠀⠀⠀⠀x(x + 2) = (x + 4) + 38

⠀⠀Final Equation:
⠀⠀⠀⠀⠀⠀x(x + 2) = (x + 4) + 38
"

"Find three consecutive odd integers such that the product of the first two is 52 more than the third integer.",
"
⠀⠀1. Let x, x + 2, and x + 4 be the three consecutive odd integers.
⠀⠀2. The product of the first two is:
⠀⠀⠀⠀⠀⠀x(x + 2) = (x + 4) + 52

⠀⠀Final Equation:
⠀⠀⠀⠀⠀⠀x(x + 2) = (x + 4) + 52
"

"The product of the ages of Alan and Terry is 80 more than the product of their ages 4 years prior. If Alan is 4 years older than Terry, what are their current ages?",
"
⠀⠀1. Let x be Terry’s current age and x + 4 be Alan’s current age.
⠀⠀2. Their product now:
⠀⠀⠀⠀⠀⠀x(x + 4)
⠀⠀3. Their product 4 years ago:
⠀⠀⠀⠀⠀⠀(x - 4)(x)
⠀⠀4. The difference in the products:
⠀⠀⠀⠀⠀⠀x(x + 4) = (x - 4)(x) + 80

⠀⠀Final Equation:
⠀⠀⠀⠀⠀⠀x(x + 4) = (x - 4)(x) + 80
"

"The product of the ages of Cally and Katy is 130 less than the product of their ages in 5 years. If Cally is 3 years older than Katy, what are their current ages?","
⠀⠀1. Let x be Katy’s current age and x + 3 be Cally’s current age.
⠀⠀2. Their product now:
⠀⠀⠀⠀⠀⠀x(x + 3)
⠀⠀3. Their product in 5 years:
⠀⠀⠀⠀⠀⠀(x + 5)(x + 8)
⠀⠀4. The difference in the products:
⠀⠀⠀⠀⠀⠀(x + 5)(x + 8) = x(x + 3) + 130

⠀⠀Final Equation:
⠀⠀⠀⠀⠀⠀(x + 5)(x + 8) = x(x + 3) + 130
""The product of the ages of James and Susan in 5 years is 230 more than the product of their ages today. What are their ages if James is one year older than Susan?","
      1. Let x be James' current age, and y be Susan's current age.  
      2. In 5 years, their ages will be (x + 5) and (y + 5).  
      3. The product of their future ages is 230 more than the product of their current ages:  
           (x + 5)(y + 5) = xy + 230  
      4. James is one year older than Susan:  
           x = y + 1  
      Final Equations:  
           (x + 5)(y + 5) = xy + 230 and x = y + 1  
   "  

"The product of the ages (in days) of two newborn babies Simran and Jessie in two days will be 48 more than the product of their ages today. How old are the babies if Jessie is 2 days older than Simran?","
      1. Let x be Simran's current age in days, and y be Jessie's current age in days.  
      2. In two days, their ages will be (x + 2) and (y + 2).  
      3. The product of their future ages is 48 more than the product of their current ages:  
           (x + 2)(y + 2) = xy + 48  
      4. Jessie is 2 days older than Simran:  
           y = x + 2  
      Final Equations:  
           (x + 2)(y + 2) = xy + 48 and y = x + 2  
   "  
"Doug went to a conference in a city 120 km away. On the way back, due to road construction, he had to drive 10 km/h slower, which resulted in the return trip taking 2 hours longer. How fast did he drive on the way to the conference?","
      1. Let x be Doug's speed on the way to the conference.  
      2. The time for the trip to the conference is 120/x.  
      3. The return trip speed is (x - 10), and the time for the return trip is 120/(x - 10).  
      4. The return trip took 2 hours longer:  
           120/(x - 10) = 120/x + 2  
      Final Equations:  
           120/(x - 10) = 120/x + 2  
   "  

